sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton.psivdx {degree},rkt.newton.thtvdx {degree},rkt.newton.dvbi {m/s},rkt.newton.IPos[0] {m},rkt.newton.IPos[1] {m},rkt.newton.IPos[2] {m},rkt.newton.IVel[0] {m/s},rkt.newton.IVel[1] {m/s},rkt.newton.IVel[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
                18.6,   120.8956050131985,   22.13896760106862,    1276.34527586028,   88.38532280087379,   77.07887733987276,   478.5406511674326,  -3042475.786805447,   5068875.598777168,   2389245.536273233,  -456.5116982422612,  -134.7170223243746,    49.4929094292404,   2.635729623312398,-0.03877476548299028,   1.081823104513332,  0.3954785043818438,    9514.74539042512,   12414.60155500013,    7235.50155500013,   226006.1838565336
                18.7,   120.8956338873026,   22.13896835924058,   1289.310703520663,   88.38323348214786,   77.02900666534512,   479.0268787847099,  -3042521.468350863,   5068862.149162455,   2389250.500205123,   -457.119519100715,  -134.2753607350331,   49.78577462316913,    2.62467279508772,-0.03838560388061577,   1.080437952539304,  0.3979253341733489,   9617.615740477324,   12405.71255500013,   7226.612555000131,   226041.6662925537
                18.8,   120.8956630452817,   22.13896912585604,   1302.351580206305,   88.38115617145596,   76.97901626171193,   479.5159182410522,  -3042567.210771097,   5068848.743687196,   2389255.493437401,  -457.7291948001864,  -133.8342337934262,   50.07891711148493,   2.613691430078465,-0.03798272645399339,    1.07904611437722,  0.4003764595493977,   9720.977632969447,   12396.82355500013,   7217.723555000131,   226077.3092392718
                18.9,   120.8956924889278,   22.13896990097571,   1315.467962836847,   88.37909086997159,   76.92890791391081,   480.0077692299357,  -3042613.014251697,   5068835.382297745,   2389260.515997755,  -458.3407266349942,  -133.3936452605069,   50.37233598830563,   2.602786300711994, -0.0375663175202333,   1.077647606929279,  0.4028318914357323,    9824.82866754028,   12387.93455500013,   7208.834555000132,   226113.1120978138
                  19,   120.8957222200357,   22.13897068466037,   1328.659908060916,   88.37703757664174,   76.87868340554226,   480.5024313377164,  -3042658.878978339,   5068822.064940075,    2389265.56791378,  -458.9541158392486,  -132.9535988380159,   50.66603035259758,   2.591958124207103,-0.03713655766274145,   1.076242447256073,  0.4052916408298008,   9929.166413683313,   12379.04555500013,   7199.945555000133,   226149.0742647022
                19.1,   120.8957522404031,   22.13897147697088,   1341.927472258918,   88.37499628822265,   76.82834451813932,   480.9999040458352,  -3042704.805136819,   5068808.791559785,   2389270.649212979,  -459.5693635883662,  -132.5140981691452,   50.95999930832922,   2.581207563811461,-0.03669362372528349,   1.074830652576583,  0.4077557188015939,   10033.98841082492,   12370.15655500013,   7191.056555000134,   226185.1951318648
                19.2,   120.8957825518301,   22.13897227796818,   1355.270711564459,   88.37296699931416,   76.77789303046477,   481.5001867330176,  -3042750.792913049,   5068795.562102127,   2389275.759922767,  -460.1864710005768,  -132.0751468392073,   51.25424196462166,   2.570535230117475,-0.03623768881168813,   1.073412240265303,  0.4102241364946002,   10139.29216837772,   12361.26755500013,   7182.167555000135,   226221.4740867174
                19.3,   120.8958131561198,   22.13897308771327,   1368.689681837335,   88.37094970239886,   76.72733071783431,   482.0032786774688,  -3042796.842493046,   5068782.376511983,   2389280.900070467,  -460.8054391384262,  -131.6367483763061,   51.54875743589715,    2.55994168244204,-0.03576892229010455,   1.071987227854112,  0.4126969051265684,   10245.07516584077,   12352.37855500014,   7173.278555000135,   226257.9105121247
                19.4,   120.8958440550778,   22.13897390626726,   1382.184438698925,   88.36894438787984,   76.67665935146881,   482.5091790590572,  -3042842.954062936,     5068769.2347339,   2389286.069683316,  -461.4262690102673,  -131.1989062520061,   51.84354484202474,   2.549427430250564,-0.03528748980205653,   1.070555633029202,  0.4151740359904799,   10351.33485285533,   12343.48955500014,   7164.389555000136,    226294.503786488
                19.5,   120.8958752505118,   22.13897473369134,   1395.755037503317,   88.36695104412068,   76.62588069787333,   483.0178869614854,  -3042889.127808941,   5068756.136712071,   2389291.268788469,  -462.0489615717391,  -130.7616238820029,   52.13860330846374,   2.538992934615823,-0.03479355327548608,   1.069117473632926,  0.4176555404553043,   10458.06864930951,   12334.60055500014,   7155.500555000137,    226331.253283707
                19.6,   120.8959067442324,   22.13897557004673,   1409.401533362456,   88.36496965748415,   76.57499651824506,   483.5294013744442,  -3042935.363917374,   5068743.082390355,   2389296.497412983,  -462.6735177272303,   -130.324904626787,   52.43393196640503,   2.528638609697593,-0.03428727094202294,   1.067672767662512,  0.4201414299668934,    10565.2739454155,   12325.71155500014,   7146.611555000138,   226368.1583732221
                19.7,   120.8959385380523,    22.1389764153948,   1423.123981127515,   88.36300021237579,   76.52400856790763,   484.0437211957534,  -3042981.662574639,   5068730.071712269,   2389301.755583839,  -463.2999383313305,  -129.8887517923041,   52.72952995290976,   2.518364824235349,-0.03376879735692895,   1.066221533269325,  0.4226317160488561,   10672.94810179441,   12316.82255500014,   7137.722555000139,    226405.218420042
                19.8,   120.8959706337864,    22.1389772697969,   1436.922435414046,   88.36104269128278,   76.47291859577454,   484.5608452334778,   -3043028.02396722,   5068717.104621012,   2389307.043327924,  -463.9282241902608,  -129.4531686306091,   53.02539641104642,    2.50817190304307, -0.0332382834229601,   1.064763788757573,  0.4251264103034491,   10781.08844955683,   12307.93355500014,   7128.833555000139,   226442.4327847867
                19.9,   120.8960030332521,   22.13897813331455,   1450.796950577758,   88.35909707481886,   76.42172834383784,   485.0807722080274,  -3043074.448281683,   5068704.181059446,   2389312.360672045,  -464.5583760632886,  -129.0181583405126,   53.32153049002553,   2.498060128502473,-0.03269587641638747,   1.063299552586032,   0.427625524412339,   10889.69229041672,   12299.04455500014,    7119.94455500014,   226479.8008236522
                  20,   120.8960357382686,   22.13897900600919,   1464.747580750845,   88.35716334176428,   76.37043954668502,   485.6035007542324,  -3043120.935704663,   5068691.300970142,   2389317.707642918,  -465.1903946641216,  -128.5837240682185,   53.61793134533254,     2.4880297420449,-0.03214172001630945,   1.061828843363781,  0.4301290701376286,   10998.75689674612,   12290.15555500014,   7111.055555000141,   226517.3218885288
                20.1,   120.8960687506574,   22.13897988794245,   1478.774379806593,   88.35524147144241,   76.31905393103455,   486.1290294234454,  -3043167.486422868,    5068678.46429533,   2389323.084267181,  -465.8242806625983,  -128.1498689075347,   53.91459813756851,   2.478077165811401,-0.03187142810243664,   1.060351679853706,  0.4326370593225361,   11108.27951171157,   12281.26655500014,   7102.166555000142,   226554.9953269219
