sys.exec.out.time {s},rkt.newton.lonx {degree},rkt.newton.latx {degree},rkt.newton.alt {m},rkt.newton._psivdx {degree},rkt.newton._thtvdx {degree},rkt.newton._dvbi {m/s},rkt.newton._SBII[0] {m},rkt.newton._SBII[1] {m},rkt.newton._SBII[2] {m},rkt.newton._VBII[0] {m/s},rkt.newton._VBII[1] {m/s},rkt.newton._VBII[2] {m/s},rkt.kinematics.alphax {degree},rkt.kinematics.betax {degree},rkt.env.rho {kg/m3},rkt.env.vmach {--},rkt.env.pdynmc {pa},rkt.propulsion.vmass {kg},rkt.propulsion.fmassr {kg},rkt.propulsion.thrust {N}
               134.3,   121.7212515887671,   22.16420834552842,   73758.65522755869,   88.25674344387035,   29.97478443040492,   2563.800863463759,  -3192769.714208272,   5053905.207150186,   2419181.857603777,  -2488.616599709207,  -406.2605607992917,   463.4810070416567,  0.1929594490540727, 0.01738813895806362,4.808247545828609e-05,   7.479337206058365,   113.9442673678971,   3004.335815000084,   1976.335815000084,   84266.49896251499
               134.4,   121.7230594033394,   22.16425951998636,   73867.45212630834,   88.25763914224824,   29.95568294452336,   2566.187773165119,  -3193018.688645098,   5053864.532731112,   2419228.217788382,  -2490.872583575695,  -407.2280557959231,   463.7227297704618,  0.1891641419085822,  0.0162395062561559,4.730849022196829e-05,   7.491110500784155,   112.3498976377715,   3001.372815000084,   1973.372815000084,   84266.49896251499
               134.5,   121.7248694690736,   22.16431073169304,   73976.30238353088,   88.25853750084731,   29.93660426083938,   2568.577686195662,  -3193267.888815925,   5053823.761505716,   2419274.602156824,  -2493.131280681529,  -408.1966553475264,    463.964694640264,  0.1907871486121612,  0.0150928571100203,4.65458554031539e-05,   7.502909937435867,    110.775259834759,   2998.409815000085,   1970.409815000085,   84266.49896251499
               134.6,   121.7266817885554,   22.16436198058165,   74085.20608540252,   88.25943734905077,   29.91754954825704,   2570.970603420149,  -3193517.314992231,   5053782.893367078,   2419321.010735021,  -2495.392687298031,  -409.1663300007115,    464.206951933971,  0.1923829966908338, 0.01879380494990443,4.579442095309615e-05,   7.514735597601643,   109.2201427787247,   2995.446815000085,   1967.446815000085,   84266.49896251499
               134.7,   121.7284963643693,   22.16441326673847,   74194.16331828572,   88.26033337494073,   29.89851774989366,   2573.366532436083,  -3193766.967442062,   5053741.928202912,   2419367.443564853,  -2497.656767944612,  -410.1371723193969,    464.449652475307,  0.1891033801705486, 0.01764817864134905,4.505403858745002e-05,   7.526587564096952,    107.684337204131,   2992.483815000085,   1964.483815000085,   84266.49896251499
               134.8,   121.7303131991905,   22.16446459015808,   74303.17415381595,    88.2612320790877,   29.87950423326195,   2575.765495013484,  -3194016.846436207,   5053700.865887562,   2419413.900673122,  -2499.923574863169,  -411.1092866871458,   464.6925430271046,  0.1906434795748038, 0.01649796477883185,4.432456186683642e-05,   7.538465921901994,   106.1676360221847,   2989.520815000085,   1961.520815000085,   84266.49896251499
               134.9,   121.7321322956505,   22.16451595076976,   74412.23867281806,   88.26213344579557,   29.86051458456683,   2578.167477518593,  -3194266.952247634,   5053659.706307244,   2419460.382083326,   -2502.19311433473,  -412.0824720381171,   464.9356911976137,  0.1921597542396566, 0.01534762140827056,4.360584601792251e-05,    7.55037075176253,   104.6698337184826,   2986.557815000086,   1958.557815000086,   84266.49896251499
                 135,   121.7339536563511,   22.16456734850171,    74521.3569624396,   88.26303747522752,   29.84154876552931,   2580.572485147288,  -3194517.285149835,   5053618.449354736,   2419506.887821235,  -2504.465391213144,  -413.0567308278337,   465.1790971579299,  0.1936471965614832, 0.01419719681742082,4.289774793523579e-05,    7.56230213742786,   103.1907265958929,   2983.594815000086,   1955.594815000086,   84266.49896251499
               135.1,   121.7357772839286,   22.16461878334121,   74630.52910425141,   88.26393792783867,   29.82260129804238,   2582.980540206202,  -3194767.845415246,    5053577.09491433,   2419553.417916648,  -2506.740361354884,  -414.0323263016046,   465.4228879369705,  0.1896552940212203, 0.01849782194101766,4.220012624217016e-05,   7.574260165107103,   101.7301129412242,   2980.631815000086,   1952.631815000086,   84266.49896251499
               135.2,   121.7376031810768,   22.16467025538093,   74739.75516979769,   88.26483966420604,   29.80367638193349,   2585.391634694744,  -3195018.633314035,   5053535.642855413,   2419599.972406513,  -2509.018067618585,  -415.0090584150595,   465.6669652729365,  0.1910953919053735, 0.01734180558611261,4.151284130156805e-05,   7.586244917398015,   100.2877929202363,   2977.668815000086,   1949.668815000086,   84266.49896251499
               135.3,    121.739431350415,   22.16472176455388,   74849.03524606489,   88.26574407216341,   29.78477519492613,   2587.805770052237,  -3195269.649121007,   5053494.093069254,   2419646.551317041,   -2511.29852579103,  -415.9868714905148,   465.9113012398217,  0.1925094584130971, 0.01618805751872318,4.083575503429466e-05,   7.598256478714133,   98.86356829408504,   2974.705815000087,   1946.705815000087,   84266.49896251499
               135.4,   121.7412617945663,   22.16477331078749,   74958.36942029372,   88.26665115128169,    29.7658966912994,   2590.222954917476,  -3195520.893111589,   5053452.445447201,    2419693.15467396,   -2513.58174040437,  -416.9658048090706,   466.1558839134011,  0.1890391047940125, 0.01503650185878879,4.016873100151658e-05,   7.610294934812838,   97.45724264478878,   2971.742815000087,   1943.742815000087,   84266.49896251499
               135.5,   121.7430945162419,   22.16482489401525,   75067.75776480604,   88.26755974780841,   29.74703621787815,   2592.643209845118,  -3195772.365561433,   5053410.699863721,   2419739.782497996,  -2515.867705811425,  -417.9460413438688,   466.4006935416608,  0.1904033069397559, 0.01874566692513951,3.951163447786855e-05,   7.622360373206333,   96.06862160365044,   2968.779815000087,   1940.779815000087,   84266.49896251499
               135.6,   121.7449295181023,   22.16487651432429,   75177.20036118012,   88.26846453024204,   29.72819936315505,   2595.066520423334,  -3196024.066742823,   5053368.856197781,   2419786.434829312,  -2518.156388489794,  -418.9274323719337,   466.6459631630443,  0.1917456573546107, 0.01759144896465265,3.886433228851473e-05,   7.634452877223501,   94.69751231287599,   2965.816815000087,   1937.816815000087,   84266.49896251499
               135.7,   121.7467668027811,    22.1649281717061,   75286.69729743525,   88.26937199289721,   29.70938610448088,   2597.492893100644,  -3196275.996931017,   5053326.914338219,   2419833.111700578,  -2520.447842707888,  -419.9099142660373,   466.8914925318225,  0.1930601471628797, 0.01643198484195777,3.822669280972273e-05,    7.64657253365299,   93.34372365183795,   2962.853815000088,   1934.853815000088,   84266.49896251499
               135.8,   121.7486063729189,   22.16497986608726,   75396.24866172019,   88.27028213596493,   29.69059640477523,   2599.922333223369,  -3196528.156403419,    5053284.87417582,   2419879.813137777,  -2522.742073458994,  -420.8934895033573,   467.1372818424452,  0.1943469073374485, 0.01527248276843632,3.759858599212767e-05,   7.658719429469731,   92.00706624210443,   2959.890815000088,   1931.890815000088,   84266.49896251499
               135.9,    121.750448231193,   22.16503159739487,   75505.85453655198,   88.27119497524139,   29.67182478856067,   2602.354864316902,  -3196780.545437854,   5053242.735594813,   2419926.539164821,  -2525.039083421781,  -421.8783600317883,   467.3832649584475,  0.1901399692152407, 0.01411373517749772,3.697988337556145e-05,   7.670893654361695,   90.68735257641895,   2956.927815000088,   1928.927815000088,   84266.49896251499
                 136,   121.7522923803401,   22.16508336561629,   75615.51499432884,   88.27210423673817,   29.65307543997415,    2604.79047662434,   -3197033.16431101,   5053200.498465958,   2419973.289808057,  -2527.338831469767,  -422.8644377061756,    467.629688301895,  0.1913795644986136, 0.01842407066276378,3.637045809771127e-05,   7.683095293770885,    89.3843969058663,   2953.964815000088,   1925.964815000088,   84266.49896251499
               136.1,   121.7541388230134,   22.16513517084232,   75725.23012300581,    88.2730147915948,   29.63434954757775,   2607.229172344143,  -3197286.013297574,   5053158.162673061,   2420020.065110438,  -2529.641360306771,  -423.8516307142044,   467.8764158285229,  0.1925940490545572, 0.01726155226920943,3.577018473190912e-05,     7.6953244354977,   88.09801500681831,   2951.001815000089,   1923.001815000089,   84266.49896251499
               136.2,   121.7559875618753,   22.16518701300423,   75835.00001083687,   88.27392803499609,   29.61564606774272,   2609.670960505386,  -3197539.092676799,   5053115.728105262,   2420066.865098476,   -2531.94668515012,  -424.8399644546947,   468.1233921356155,   0.188912102515073, 0.01610129425152517,3.517893935932616e-05,   7.707581168654946,   86.82802436994004,   2948.038815000089,   1920.038815000089,   84266.49896251499
               136.3,   121.7578385996771,   22.16523889202971,   75944.82473098859,   88.27484397847618,   29.59696034117778,   2612.115862003533,  -3197792.402728364,   5053073.194634983,   2420113.689792616,    -2534.2548088204,  -425.8296118239554,   468.3705607689262,  0.1900791650851003, 0.01494183349179139,3.45965996340338e-05,   7.719865584120154,   85.57424440874986,   2945.075815000089,   1917.075815000089,   84266.49896251499
               136.4,   121.7596919391237,   22.16529080784917,   76054.70436605066,    88.2757614391808,   29.57829797963133,   2614.563863304215,  -3198045.943732473,   5053030.562144419,   2420160.539217141,  -2536.565730089869,  -426.8203796758789,   468.6180275269477,  0.1912267447508636, 0.01865717222861753,3.402304463641622e-05,   7.732177768651117,      84.33649597423,    2942.11281500009,    1914.11281500009,   84266.49896251499
               136.5,   121.7615475828855,   22.16534276054892,   76164.63900505565,   88.27667509788439,    29.5596589371852,   2617.014968968263,  -3198299.715965925,   5052987.830517087,   2420207.413414947,  -2538.879413107681,  -427.8123253775077,   468.8659592645284,  0.1923484395923798, 0.01749440647924654,3.345815487383775e-05,   7.744517811988806,   83.11460154448507,    2939.14981500009,    1911.14981500009,   84266.49896251499
               136.6,   121.7634055336406,   22.16539475011938,   76274.62873721123,   88.27759145390512,   29.54104319302894,   2619.469185614728,  -3198553.719708472,   5052944.999639536,   2420254.312419045,  -2541.195912902264,  -428.8053845050725,   469.1141533287713,  0.1934433987370104, 0.01632645968593523,3.290181230024276e-05,   7.756885804711931,   81.90838525432831,    2936.18681500009,    1908.18681500009,   84266.49896251499
               136.7,   121.7652657940745,   22.16544677648519,   76384.67365187034,   88.27851050737277,   29.52245071132208,   2621.926518763172,  -3198807.955242053,   5052902.069400292,   2420301.236255674,  -2543.515234626736,  -429.7995595660058,   469.3626099426029,  0.1945117395253657, 0.01515854871322271,3.235390030094842e-05,   7.769281837604593,   80.71767286953391,    2933.22381500009,    1905.22381500009,   84266.49896251499
               136.8,   121.7671283669095,   22.16549883957151,   76494.77383268997,   88.27943227469822,   29.50387600430493,   2624.386992099085,  -3199062.422849021,   5052859.039681259,   2420348.184948975,  -2545.837380420749,  -430.7950549114856,   469.6112620190317,  0.1900709850228805,  0.0139914837573043,3.18143037049713e-05,   7.781706004220416,   79.54229190056439,   2930.260815000091,   1902.260815000091,   84266.49896251499
               136.9,   121.7689932549279,   22.16555093936456,   76604.92935305554,    88.2803504760174,   29.48532326747279,   2626.850596051664,  -3199317.122810544,   5052815.910350685,   2420395.158525555,  -2548.162309274041,  -431.7917813864893,   469.8603591486004,  0.1910945815341911, 0.01831028494118296,3.128290879209802e-05,    7.79415839379802,   78.38207150379277,   2927.297815000091,   1899.297815000091,   84266.49896251499
                 137,    121.770860460828,   22.16560307595524,   76715.14030214772,   88.28126998628044,   29.46679369408988,   2629.317332995241,   -3199572.05540584,    5052772.68129004,   2420442.157028844,  -2550.490064661672,  -432.7896460552835,   470.1097636921055,  0.1920941600486639, 0.01713961883101329,3.075960314924331e-05,   7.806639098004205,   77.23684226884855,   2924.334815000091,   1896.334815000091,   84266.49896251499
               137.1,   121.7727299873153,   22.16565524927289,   76825.40676987357,   88.28219219868905,   29.44828725515254,   2631.787208757182,  -3199827.220918758,   5052729.352386643,   2420489.180485778,  -2552.820662572769,  -433.7886368904118,   470.3594321624781,  0.1930700077642389, 0.01597143379908669,3.024427573178438e-05,   7.819148209429117,   76.10643637523535,   2921.371815000091,   1893.371815000091,   84266.49896251499
               137.2,   121.7746018371006,    22.1657074592413,   76935.72884628549,   88.28311710968582,   29.42980391856366,   2634.260228944299,  -3200082.619633808,   5052685.923527751,   2420536.228922772,  -2555.154108224469,  -434.7887563410604,   470.6093649521715,  0.1940222361162447, 0.01480576105090277,2.973681685193414e-05,   7.831685821059066,   74.99068757755275,   2918.408815000092,   1890.408815000092,   84266.49896251499
               137.3,   121.7764760129018,   22.16575970578833,   77046.10662118066,   88.28404355211468,   29.41134263313744,   2636.736402357817,  -3200338.251835912,   5052642.394599776,   2420583.302366568,  -2557.490397142649,  -435.7900568539832,   470.8595867020014,  0.1900610451216915, 0.01853221386577382,2.923711816597464e-05,   7.844252026725371,   73.88943120687877,   2915.445815000092,   1887.445815000092,   84266.49896251499
               137.4,   121.7783525175214,   22.16581198900256,   77156.54016897362,   88.28496621404152,   29.39289871340825,   2639.215749191176,  -3200594.117806175,   5052598.765466556,   2420630.400854785,  -2559.829490143795,  -436.7927695293417,   471.1102086091802,  0.1909671589170156, 0.01736648886411378,2.874507272604596e-05,   7.856846921984782,   72.80250435275828,   2912.482815000092,   1884.482815000092,   84266.49896251499
               137.5,   121.7802313537186,   22.16586430887426,   77267.02957367711,   88.28589158247362,   29.37447780546123,   2641.698257464089,  -3200850.217828863,    5052555.03600527,   2420677.524418462,  -2562.171446552042,  -437.7966185477415,   471.3610959236914,  0.1918527371300767, 0.01619562569091273,2.826057485408015e-05,   7.869470598631647,   71.72974545004956,   2909.519815000092,   1881.519815000092,   84266.49896251499
