sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {m},rkt.dynamics._SBII[1] {m},rkt.dynamics._SBII[2] {m},rkt.dynamics._VBII[0] {m/s},rkt.dynamics._VBII[1] {m/s},rkt.dynamics._VBII[2] {m/s},rkt.dynamics.thtbdx {degree}
                97.8,   120.9203510223957,   22.13871897318391,   52606.65371512342,   1708.150777674544,   5210170.347893427,  -2900185.421313006,   2399738.205221151,   1572.469773268473,  -271.6407981911673,   609.3678430842986,   86.72652767445233
   97.90000000000001,   120.9204404504714,   22.13871864320588,   52769.33732151892,   1712.397785356557,   5210327.777180165,  -2900212.669517109,   2399799.223113926,   1576.153775769458,  -273.3419509066152,   611.0070607581283,    86.7254475057568
                  98,   120.9205301462901,   22.13871831148821,   52932.45844374783,    1716.65549669338,   5210485.575298213,  -2900240.088035891,   2399860.405120882,   1579.846493514061,  -275.0471314822864,   612.6501666712314,   86.72437264099155
   98.09999999999999,   120.9206201113369,   22.13871797803492,    53096.0181176234,   1720.923945636171,    5210643.74312056,  -2900267.677272853,   2399921.751631488,   1583.547955970204,   -276.756354156914,   614.2971742083212,   86.72330316230503
                98.2,   120.9207103452639,   22.13871764285006,   53260.01738249511,   1725.203166345629,   5210802.281523153,  -2900295.437632917,   2399983.263036542,   1587.258192836718,  -278.4696332990565,    615.948096654246,   86.72223912537642
                98.3,   120.9208008495605,   22.13871730593764,   53424.45728128124,   1729.493193198978,   5210961.191384917,   -2900323.36952245,   2400044.939728179,   1590.977234049078,  -280.1869833885785,   617.6029472069823,   86.72118055466798
   98.40000000000001,   120.9208916238822,   22.13871696730129,   53589.33886047825,   1733.794060795989,    5211120.47358778,  -2900351.473349273,   2400106.782099837,   1594.705109782486,  -281.9084189991631,   619.2617389944799,   86.72012744302242
                98.5,   120.9209826697172,   22.13871662694427,   53754.66317019798,   1738.105803964352,   5211280.129016704,  -2900379.749522661,   2400168.790546281,   1598.441850452257,  -283.6339547833383,   620.9244850956475,   86.71907975405392
   98.59999999999999,   120.9210739867262,   22.13871628486933,   53920.43126417417,   1742.428457764014,   5211440.158559705,  -2900408.198453364,   2400230.965463576,   1602.187486712102,  -285.3636054604182,   622.5911985626431,   86.71803742611679
                98.7,   120.9211655764029,   22.13871594107846,    54086.6441997923,    1746.76205749065,   5211600.563107873,  -2900436.820553598,   2400293.307249085,   1605.942049450352,   -287.097385807131,   624.2618924448954,   86.71700037725905
                98.8,   120.9212574384063,   22.13871559557318,    54253.3030381063,   1751.106638678316,   5211761.343555397,  -2900465.616237062,   2400355.816301499,   1609.705569784612,  -288.8353106511453,    625.936579813581,   86.71596851091257
   98.90000000000001,   120.9213495742345,   22.13871524835413,   54420.40884386376,   1755.462237101423,   5211922.500799592,  -2900494.585918941,   2400418.493020806,   1613.478079054876,   -290.577394867434,    627.615273786877,   86.71494172200718
                  99,   120.9214419835541,   22.13871489942126,   54587.96268552542,   1759.828888775803,   5212084.035740906,  -2900523.730015907,   2400481.337808317,   1617.259608816505,  -292.3236533778961,   629.2979875514975,   86.71391990299009
   99.09999999999999,   120.9215346678625,   22.13871454877366,   54755.96563530248,   1764.206629959431,   5212245.949282977,  -2900553.048946128,   2400544.351066663,   1621.050190833128,  -294.0741011535388,   630.9847343822446,   86.71290294921579
                99.2,   120.9216276268291,    22.1387141964097,   54924.41876914538,   1768.595497152694,   5212408.242332604,  -2900582.543129269,    2400607.53319981,   1624.849857069318,  -295.8287532182642,   632.6755276600558,   86.71189076337824
                99.3,   120.9217208614989,   22.13871384232713,   55093.32316679414,   1772.995527098601,     5212570.9157998,  -2900612.212986504,   2400670.884613075,   1628.658639684392,  -297.5876246541765,   634.3703808862105,   86.71088325877876
   99.40000000000001,   120.9218143729183,   22.13871348652286,   55262.67991180252,   1777.406756782894,   5212733.970597805,  -2900642.058940514,   2400734.405713128,   1632.476571027514,  -299.3507306077495,   636.0693076924429,   86.70988036137015
                99.5,   120.9219081607628,   22.13871312899325,   55432.49009153992,   1781.829223434485,   5212897.407643101,  -2900672.081415502,    2400798.09690801,   1636.303683633831,  -301.1180862960696,   637.7723218491759,   86.70888201065682
   99.59999999999999,   120.9220022265417,   22.13871276973398,   55602.75479723513,   1786.262964525884,   5213061.227855429,  -2900702.280837195,   2400861.958607146,   1640.140010222365,  -302.8897070131451,   639.4794372691513,   86.70788815962243
                99.7,    120.922096569931,   22.13871240874027,   55773.47512398846,   1790.708017774225,   5213225.432157808,  -2900732.657632859,   2400925.991221366,   1643.985583694851,  -304.6656081355669,   641.1906680105204,   86.70689877392478
                99.8,   120.9221911924439,   22.13871204600673,   55944.65217081178,   1795.164421142334,   5213390.021476571,  -2900763.212231292,   2400990.195162907,   1647.840437135576,  -306.4458051275092,   642.9060282777552,   86.70591383057959
   99.90000000000001,   120.9222860937636,   22.13871168152758,   56116.28704063036,   1799.632212840163,   5213554.996741355,  -2900793.945062851,   2401054.570845435,   1651.704603812293,  -308.2303135450796,   644.6255324210778,   86.70493331634856
                 100,    120.922381275407,   22.13871131529663,   56288.38084032014,   1804.111431326516,   5213720.358885138,  -2900824.856559448,   2401119.118684059,   1655.578117178582,  -310.0191490403226,   646.3491949331611,   86.70395722594849
               100.1,   120.9224788243549,   22.13871094000962,   56464.70347403642,   1806.102600470663,   5213889.267131368,  -2900857.455734304,   2401185.253479558,    1657.30717763227,  -310.7805262848443,   647.1128084635368,   86.70256598009929
               100.2,    120.922574280367,   22.13871057466774,   56637.18430757988,   1805.162525122579,   5214054.958541147,  -2900888.511161139,   2401249.946766033,   1656.509714509819,  -310.3339424242768,   646.7458171653891,   86.69780831551451
               100.3,   120.9226697146161,    22.1387102121422,   56809.56709543802,   1804.222954405848,   5214220.570329226,  -2900919.521551974,   2401314.603543121,   1655.712632992296,   -309.887650990443,   646.3789831966324,   86.68919167463135
               100.4,   120.9227651278928,   22.13870985236676,   56981.85188736673,   1803.283879265189,   5214386.102530678,   -2900950.48694437,   2401379.223822655,   1654.915927920151,  -309.4416458881854,   646.0122975020738,   86.67679634519543
               100.5,   120.9228605191597,   22.13870949527039,   57154.03873196896,    1802.34529040385,   5214551.555180063,  -2900981.407375034,    2401443.80761553,   1654.119592100806,  -308.9959221657411,   645.6457550035807,   86.66069602144051
               100.6,   120.9229558892124,   22.13870914078086,   57326.12767680362,   1801.407178666121,   5214716.928311287,  -2901012.282879969,   2401508.354932128,   1653.323618063039,  -308.5504751448738,   645.2793515932815,   86.64095934102178
               100.7,   120.9230512370195,   22.13870878882592,    57498.1187683586,   1800.469535100406,   5214882.221957501,  -2901043.113494491,   2401572.865782424,   1652.527998367812,  -308.1053002654455,   644.9130835883905,    86.6176506417777
               100.8,   120.9231465634645,    22.1387084393727,   57670.01205162425,   1799.532396348711,   5215047.436153331,  -2901073.899245014,   2401637.340179905,   1651.732775872558,  -307.6602037865055,   644.5470360050645,   86.59078761417874
               100.9,   120.9232418686655,   22.13870809291597,    57841.8075638134,   1798.595926245601,    5215212.57096206,  -2901104.640046142,   2401701.778189692,   1650.938133917219,  -307.2144579541868,    644.181543285055,   86.55980993037375
                 101,   120.9233371554689,   22.13870775039102,   58013.50533510279,   1797.660154516997,   5215377.626470338,  -2901135.335719091,   2401766.179919825,   1650.144107482846,  -306.7678867665077,   643.8166814602789,   86.52367139540432
               101.1,   120.9234324251574,   22.13870741286665,   58185.10539222322,    1796.72510242656,   5215542.602770656,  -2901165.986056448,   2401830.545490865,   1649.350722384042,  -306.3203427824971,   643.4525125124501,   86.48116722355664
               101.2,   120.9235276811616,   22.13870708157114,   58356.60775766987,   1795.790796968933,   5215707.499962399,  -2901196.590816591,   2401894.875038291,   1648.558011098385,  -305.8716449552655,   643.0891130582229,   86.43090079856036
               101.3,   120.9236229254551,   22.13870675792052,   58528.01244883798,   1794.857268759852,   5215872.318152902,  -2901227.149717647,   2401959.168715089,   1647.766010545237,  -305.4215847224337,   642.7265711774687,   86.37124699730111
               101.4,   120.9237181622831,    22.1387064435493,   58699.31947681587,   1793.924552656656,   5216037.057458473,  -2901257.662430721,   2402023.426694497,   1646.974763059046,  -304.9699171268198,   642.3649897983569,   86.30031059831127
               101.5,   120.9238133945639,   22.13870614034759,   58870.52884484641,   1792.992687276911,   5216201.718005487,  -2901288.128571796,   2402087.649173253,   1646.184316215668,  -304.5163550316189,   642.0044884518259,   86.21587668722067
               101.6,   120.9239086276679,   22.13870585051585,   59041.64054603409,   1792.061719744658,   5216366.299932015,   -2901318.54768968,    2402151.83637641,   1645.394728745975,  -304.0605343920141,   641.6452177133294,   86.11533953509412
               101.7,   120.9240038658713,   22.13870557662609,   59212.65456033591,   1791.131694103354,   5216530.803389275,    -2901348.9192524,   2402215.988562535,   1644.606058181277,  -303.6020539893439,   641.2873395198468,   85.99562277512392
               101.8,   120.9240991160742,   22.13870532165042,   59383.57085136138,   1790.202649151503,   5216695.228540745,  -2901379.242640193,    2402280.10602547,   1643.818359395988,  -303.1404654400307,   640.9310294833174,   85.85313450548118
               101.9,   120.9241943842503,   22.13870508901796,   59554.38936164416,   1789.274621523729,   5216859.575561855,  -2901409.517132168,   2402344.189098444,   1643.031689480517,  -302.6752291465983,   640.5764936779505,   85.68369115638956
                 102,   120.9242896794129,   22.13870488276691,   59725.11000466719,   1788.347659868075,    5217023.84464319,  -2901439.741872168,   2402408.238166818,   1642.246125969938,  -302.2055977189592,   640.2240162628071,   85.48233376203149
               102.1,   120.9243850070807,   22.13870469231309,   59895.75108247809,   1788.144910379189,   5217188.051321676,  -2901469.924737128,    2402472.25900681,   1642.090152565532,  -302.0446645720144,   640.1337141300151,   85.25546271240438
               102.2,   120.9244803041614,   22.13870439424312,   60066.42589531001,   1788.653074671965,   5217352.288647633,  -2901500.125116791,   2402536.281385967,   1642.550150535099,  -302.2604769605291,   640.2713710437092,   85.11076490053367
               102.3,   120.9245753207179,   22.13870390535564,   60237.15597071033,   1789.137588338694,   5217516.564497065,  -2901530.377070626,   2402600.304787646,   1642.963958610161,  -302.5728284469511,   640.4158213223948,   85.21861009868606
               102.4,   120.9246699702427,   22.13870331456341,    60407.9416721249,   1789.630705629362,     5217680.8714802,  -2901560.686898049,   2402664.338565877,   1643.377351882845,  -302.8325940850661,   640.6101480695478,   85.61731635418603
               102.5,   120.9247644815636,   22.13870274782601,   60578.78048504051,   1790.146656765169,   5217845.214579819,  -2901591.029982063,   2402728.394807892,   1643.820474748617,  -302.9901065741545,   640.8403036973608,   86.14765144051819
               102.6,   120.9248591259127,   22.13870226989547,    60749.6703347275,   1790.688646207627,   5218009.603432198,  -2901621.379462573,   2402792.479422274,     1644.3066612879,   -303.054099594666,   641.0769407957283,   86.63281516433493
